Discipline,Number of Professors,Clarity,Helpfulness,Overall Quality,Easiness
English,23343,3.75614702480398,3.82186565565692,3.79136357794637,3.16275414471149
Mathematics,22394,3.48737920871662,3.64152630168793,3.56686701795135,3.06332231847814
Biology,11774,3.60833106845591,3.70153049091218,3.65764056395451,2.71045948700526
Psychology,11179,3.90951963502996,3.88753555774222,3.90094910099296,3.31620985776902
History,11145,3.78881830417226,3.75364199192463,3.77374607447288,3.05380260206369
Chemistry,7346,3.38717397222979,3.53898039749522,3.46548461747887,2.65205417914511
Communications,6940,3.86734870317004,3.8786023054755,3.87501873198845,3.37982853025936
Business,6120,3.64032679738563,3.68050326797386,3.66333169934638,3.17203267973855
Political Science,5824,3.75901785714285,3.74867616758241,3.75619677197801,3.05775755494504
Economics,5540,3.38273465703971,3.48361732851984,3.43503790613717,2.91007761732851
Philosophy,4973,3.63230243313894,3.74532676452845,3.6909672230042,3.115356927408
Sociology,4839,3.74097954122751,3.74816904319074,3.74696218226904,3.39581938417028
Computer Science,4809,3.37261800790184,3.46866084425035,3.42290704928257,3.13272405905593
Accounting,3895,3.48424903722721,3.57272657252887,3.53131450577661,2.78470603337612
Languages,3867,3.7727799327644,3.91794931471423,3.84695112490299,3.27740625808119
Science,3832,3.51940240083507,3.61168058455114,3.56755741127347,2.85441283924842
Physics,2629,3.29432103461391,3.46402434385697,3.38201977938379,2.78566755420312
Anthropology,2598,3.69322170900692,3.70476135488837,3.70167436489607,3.24804464973056
Education,2544,3.70742924528301,3.80612814465408,3.75821147798741,3.43091588050314
Music,2455,3.84450916496945,3.78780448065171,3.81811405295315,3.54227291242362
Fine Arts,1949,3.65949717804002,3.69722934838378,3.67988712160082,3.13807593637763
Health,1937,3.89117707795559,3.88472896231284,3.89121321631389,3.46801239029427
Humanities,1897,3.80696889826041,3.81629942013705,3.81356879283079,3.34413811280969
Engineering,1864,3.35667918454935,3.41838519313304,3.38914699570815,2.8857135193133
Criminal Justice,1786,4.05668533034714,4.03377939529674,4.04670212765957,3.46944008958567
Geography,1694,3.63834120425029,3.6920720188902,3.66727863046045,3.24443329397875
Marketing,1458,3.61833333333333,3.63410836762688,3.62833333333334,3.19430041152263
Social Science,1412,3.6835552407932,3.69113314447592,3.69026203966006,3.33884560906516
Management,1397,3.60439513242663,3.62512526843236,3.61873299928418,3.14456692913386
Law,1236,3.71519417475728,3.72836569579288,3.72446601941747,2.86876213592233
Geology,1087,3.72366145354185,3.78482980680772,3.7564305427783,3.10657773689052
Theater,1078,3.87663265306122,3.82150278293135,3.85183673469388,3.58450834879406
Religion,1073,3.77580615097856,3.83531220876048,3.80806150978565,3.24242311276793
Finance,1042,3.34653550863723,3.44330134357005,3.39682341650672,2.69351247600767
Theology,1032,3.65573643410852,3.73840116279069,3.69868217054263,3.08693798449612
Art History,1003,3.80842472582253,3.72769690927218,3.76964107676969,3.21788634097706
Physical Education,991,4.07869828456105,4.03079717457114,4.0577194752775,3.83225025227043
Writing,913,3.76682365826944,3.88649507119386,3.8286308871851,3.12537787513691
